0;москва
1;абрамцево
2;алабино
3;апрелевка
4;архангельское
5;ашитково
6;байконур
7;бакшеево
8;балашиха
9;барыбино
10;белоомут
11;белые столбы
12;бородино
13;бронницы
14;быково
15;валуево
16;вербилки
17;верея
18;видное
19;внуково
20;вождь пролетариата
21;волоколамск
22;вороново
23;воскресенск
24;восточный
25;востряково
26;высоковск
27;голицино
28;деденево
29;дедовск
30;джержинский
31;дмитров
32;долгопрудный
33;домодедово
34;дорохово
35;дрезна
36;дубки
37;дубна
38;егорьевск
39;железнодорожный
40;жилево
41;жуковский
42;загорск
43;загорянский
44;запрудная
45;зарайск
46;звенигород
47;зеленоград
48;ивантеевка
49;икша
50;ильинский
51;истра
52;калининград
53;кашира
54;керва
55;климовск
56;клин
57;клязьма
58;кожино
59;кокошкино
60;коломна
61;колюбакино
62;королев
63;косино
64;котельники
65;красково
66;красноармейск
67;красногорск
68;краснозаводск
69;краснознаменск
70;красный ткач
71;крюково
72;кубинка
73;купавна
74;куровское
75;лесной городок
76;ликинодулево
77;лобня
78;лопатинский
79;лосинопетровский
80;лотошино
81;лукино
82;луховицы
83;лыткарино
84;львовский
85;люберцы
86;малаховка
87;михайловское
88;михнево
89;можайск
90;монино
91;муханово
92;мытищи
93;нарофоминск
94;нахабино
95;некрасовка
96;немчиновка
97;новобратцевский
98;новоподрезково
99;ногинск
100;обухово
101;одинцово
102;ожерелье
103;озеры
104;октябрьский
105;опалиха
106;ореховозуево
107;павловский посад
108;первомайский
109;пески
110;пироговский
111;подольск
112;полушкино
113;правдинский
114;привокзальный
115;пролетарский
116;протвино
117;пушкино
118;пущино
119;радовицкий
120;раменское
121;реутов
122;решетниково
123;родники
124;рошаль
125;рублево
126;руза
127;салтыковка
128;северный
129;сергиев посад
130;серебряные пруды
131;серпухов
132;солнечногорск
133;солнцево
134;софрино
135;старая купавна
136;старбеево
137;ступино
138;сходня
139;талдом
140;текстильщик
141;темпы
142;тишково
143;томилино
144;троицк
145;туголесский бор
146;тучково
147;уваровка
148;удельная
149;успенское
150;фирсановка
151;фосфоритный
152;фрязино
153;фряново
154;химки
155;хорлово
156;хотьково
157;черкизово
158;черноголовка
159;черусти
160;чехов
161;шарапово
162;шатура
163;шатурторф
164;шаховская
165;шереметьевский
166;щелково
167;щербинка
168;электрогорск
169;электросталь
170;электроугли
171;яхрома
172;санктпетербург
173;александровская
174;бокситогорск
175;большая ижора
176;будогощь
177;вознесенье
178;волосово
179;волхов
180;всеволожск
181;выборг
182;вырица
183;высоцк
184;гатчина
185;дружная горка
186;дубровка
187;ефимовский
188;зеленогорск
189;ивангород
190;каменногорск
191;кикерино
192;кингисепп
193;кириши
194;кировск
195;кобринское
196;колпино
197;коммунар
198;кронштадт
199;лисий нос
200;лодейное поле
201;ломоносов
202;луга
203;павловск
204;парголово
205;петродворец
206;пикалёво
207;подпорожье
208;приозерск
209;пушкин
210;сестрорецк
211;сланцы
212;сосновый бор
213;тихвин
214;тосно
215;шлиссельбург
216;адыгейск
217;майкоп
218;акташ
219;акутиха
220;алейск
221;алтайский
222;баево
223;барнаул
224;белово
225;белокуриха
226;белоярск
227;бийск
228;благовещенск
229;боровлянка
230;бурла
231;бурсоль
232;волчиха
233;горноалтайск
234;горняк
235;ельцовка
236;залесово
237;заринск
238;заток
239;змеиногорск
240;каменьнаоби
241;ключи
242;кошагач
243;красногорское
244;краснощеково
245;кулунда
246;кытманово
247;мамонтово
248;новичиха
249;новоалтайск
250;онгудай
251;павловск
252;петропавловское
253;поспелиха
254;ребриха
255;родино
256;рубцовск
257;славгород
258;смоленское
259;солонешное
260;солтон
261;староаллейское
262;табуны
263;тальменка
264;топчиха
265;троицкое
266;турочак
267;тюменцево
268;угловское
269;устькалманка
270;устькан
271;устькокса
272;устьулаган
273;устьчарышская пристань
274;хабары
275;целинное
276;чарышское
277;шебалино
278;шелаболиха
279;шипуново
280;айгунь
281;архара
282;белогорск
283;благовещенск (амурская обл.)
284;бурея
285;возжаевка
286;екатеринославка
287;ерофей павлович
288;завитинск
289;зея
290;златоустовск
291;ивановка
292;коболдо
293;магдагачи
294;новобурейский
295;поярково
296;райчихинск
297;ромны
298;свободный
299;серышево
300;сковородино
301;стойба
302;тамбовка
303;тында
304;шимановск
305;экимчан
306;ядрино
307;амдерма
308;архангельск
309;березник
310;вельск
311;верхняя тойма
312;волошка
313;вычегодский
314;емца
315;илеза
316;ильинскоподомское
317;каргополь
318;карпогоры
319;кодино
320;коноша
321;коряжма
322;котлас
323;красноборск
324;лешуконское
325;мезень
326;мирный
327;нарьянмар
328;новодвинск
329;няндома
330;онега
331;пинега
332;плесецк
333;северодвинск
334;сольвычегодск
